Error during initialization.;Fehler bei der Initialisierung
TEMA(#Period#)[#Shift#];TEMA(#Period#)[#Shift#]
(MTATR) Average True Range;(MTATR) Average True Range
MTATR(#Period#)[#Shift#];MTATR(#Period#)[#Shift#]
(OSMA) Moving Average Of Oscillator;(OSMA) Gleitender Durchschnitt vom Oszillator
OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#)[#Shift#];OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#)[#Shift#]
Fast EMA;Schneller EMA
Slow EMA;Langsamer EMA
Is triggered if OSMA changes direction downwards;Wird ausgelöst, wenn OSMA die Richtung nach unten ändert
(OSMA) OSMA changes direction downwards;(OSMA) OSMA ändert die Richtung nach unten
OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) changes direction downwards;OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) ändert die Richtung nach unten
Is triggered if OSMA changes direction upwards;Wird ausgelöst, wenn OSMA die Richtung nach oben ändert
(OSMA) OSMA changes direction upwards;(OSMA) OSMA ändert die Richtung nach oben
OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) changes direction upwards;OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) ändert die Richtung nach oben
(OSMA) OSMA crosses below 0;(OSMA) OSMA kreuzt unter 0
OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) crosses below 0;OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) kreuzt unter 0
(OSMA) OSMA crosses above 0;(OSMA) OSMA kreuzt über 0
OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) crosses above 0;OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) kreuzt über 0
Is triggered if OSMA is falling;Wird ausgelöst, wenn OSMA fällt
(OSMA) OSMA is falling;(OSMA) OSMA fällt
OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) is falling;OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) fällt
(OSMA) OSMA is higher than 0;(OSMA) OSMA ist höher als 0
OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) > 0;OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) > 0
(OSMA) OSMA is lower than 0;(OSMA) OSMA ist niedriger als 0
OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) < 0;OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) < 0
Is triggered if OSMA is rising;Wird ausgelöst, wenn OSMA steigt
(OSMA) OSMA is rising;(OSMA) OSMA steigt
OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) is rising;OSMA(#FastEMA#, #SlowEMA#, #SignalPeriod#) steigt
(PSAR) Parabolic SAR;(PSAR) Parabolic SAR
ParabolicSAR(#Step#, #Maximum#)[#Shift#];ParabolicSAR(#Step#, #Maximum#)[#Shift#]
(PSAR) Price is above Parabolic SAR;(PSAR) Preis ist oberhalb vom Parabolic SAR
(PSAR) Price is below Parabolic SAR;(PSAR) Preis ist unterhalb vom Parabolic SAR
Pivots;Pivot-Punkte
(Pivots) Pivots;(Pivots) Pivots
Pivots(#StartHour#:#StartMinute#)[#Shift#];Pivots(#StartHour#:#StartMinute#)[#Shift#]
(QQE) Quantitative Qualitative Estimation;(QQE) Quantitative Qualitative Schätzung
QQE(#RSIPeriod#)[#Shift#];QQE(#RSIPeriod#)[#Shift#]
RSIPeriod;RSIPeriod
sF;sF
wF;wF
Is triggered if QQE Value1 changes direction downwards;Wird ausgelöst, wenn QQE Wert1 die Richtung nach unten ändert
(QQE) QQE Value1 line changes direction downwards;(QQE) QQE Wert1-Linie ändert die Richtung nach unten
QQE(#RSIPeriod#).Value1 changes direction downwards;QQE(#RSIPeriod#).Value1ändert die Richtung nach unten
Is triggered if QQE Value1 changes direction upwards;Wird ausgelöst, wenn QQE Wert1 die Richtung nach oben ändert
(QQE) QQE Value1 line changes direction upwards;(QQE) QQE Wert1-Linie ändert die Richtung nach oben
QQE(#RSIPeriod#).Value1 changes direction upwards;QQE(#RSIPeriod#).Value1 ändert die Richtung nach oben
(QQE) QQE Value1 line crosses above Level;(QQE) QQE Wert1-Linie kreuzt die Ebene nach oben
QQE(#RSIPeriod#).Value1 crosses above #Level#;QQE(#RSIPeriod#).Value1 kreuzt die Ebene #Level# nach oben
(QQE) QQE Value1 line crosses above Value2;(QQE) QQE Wert1-Linie kreuzt Wert2 nach oben
QQE(#RSIPeriod#).Value1 crosses above QQE.Value2;QQE(#RSIPeriod#).Value1 kreuzt QQE.Value2 nach oben
(QQE) QQE Value1 line crosses below Level;(QQE) QQE Wert1-Linie kreuzt die Ebene nach unten
QQE(#RSIPeriod#).Value1 crosses below #Level#;QQE(#RSIPeriod#).Value1 kreuzt #Level# nach unten
(QQE) QQE Value1 line crosses below Value2;(QQE) QQE Wert1-Linie kreuzt Wert2 nach unten
QQE(#RSIPeriod#).Value1 crosses below QQE.Value2;QQE(#RSIPeriod#).Value1 kreuzt QQE.Value2 nach unten
Is triggered if QQE Value1 is falling;Wird ausgelöst, wenn QQE Wert1 fällt
(QQE) QQE Value1 line is falling;(QQE) QQE Wert1-Linie fällt
QQE(#RSIPeriod#).Value1 is falling;QQE(#RSIPeriod#).Value1 fällt
(QQE) QQE Value1 line is higher than Level;(QQE) QQE Wert1-Linie ist höher als die Ebene
QQE(#RSIPeriod#).Value1 > #Level#;QQE(#RSIPeriod#).Value1 > #Level#
(QQE) QQE Value1 line is higher than Value2;(QQE) QQE Wert1-Linie ist höher als Wert2
QQE(#RSIPeriod#).Value1 > QQE.Value2;QQE(#RSIPeriod#).Value1 > QQE.Value2
(QQE) QQE Value1 line is lower than Level;(QQE) QQE Wert1-Linie ist niedriger als die Ebene
QQE(#RSIPeriod#).Value1 < #Level#;QQE(#RSIPeriod#).Value1 < #Level#
(QQE) QQE Value1 line is lower than Value2;(QQE) QQE Wert1-Linie ist niedriger als Wert2
QQE(#RSIPeriod#).Value1 < QQE.Value2;QQE(#RSIPeriod#).Value1 < QQE.Value2
Is triggered if QQE Value1 is rising;Wird ausgelöst, wenn QQE Wert1 steigt
(QQE) QQE Value1 line is rising;(QQE) QQE Wert1-Linie steigt
QQE(#RSIPeriod#).Value1 is rising;QQE(#RSIPeriod#).Value1 steigt
Is triggered if QQE Value2 is falling;Wird ausgelöst, wenn QQE Wert2 fällt
(QQE) QQE Value2 line is falling;(QQE) QQE Wert2-Linie fällt
QQE(#RSIPeriod#).Value2 is falling;QQE(#RSIPeriod#).Value2 fällt
Is triggered if QQE Value2 is rising;Wird ausgelöst, wenn QQE Wert2 steigt
(QQE) QQE Value2 line is rising;(QQE) QQE Wert2-Linie steigt
QQE(#RSIPeriod#).Value2 is rising;QQE(#RSIPeriod#).Value2 steigt
(RSI) Relative Strength Index;(RSI) Relative Stärke Index
RSI(#Period#)[#Shift#];RSI(#Period#)[#Shift#]
Is triggered if RSI changes direction downwards;Wird ausgelöst, wenn RSI die Richtung nach unten ändert
(RSI) RSI changes direction downwards;(RSI) RSI ändert die Richtung nach unten
RSI(#Period#) changes direction downwards;RSI(#Period#) ändert die Richtung nach unten
Is triggered if RSI changes direction upwards;Wird ausgelöst, wenn RSI die Richtung nach oben ändert
(RSI) RSI changes direction upwards;(RSI) RSI ändert die Richtung nach oben
RSI(#Period#) changes direction upwards;RSI(#Period#) ändert die Richtung nach oben
(RSI) RSI crosses below Level;(RSI) RSI kreuzt die Ebene nach unten
RSI(#Period#) crosses below #Level#;RSI(#Period#) kreuzt #Level# nach unten
(RSI) RSI crosses above Level;(RSI) RSI kreuzt die Ebene nach oben
RSI(#Period#) crosses above #Level#;RSI(#Period#) kreuzt #Level# nach oben
Is triggered if RSI is falling;Wird ausgelöst, wenn RSI fällt
(RSI) RSI is falling;(RSI) RSI fällt
RSI(#Period#) is falling;RSI(#Period#) fällt
(RSI) RSI is higher than Level;(RSI) RSI ist höher als die Ebene
RSI(#Period#) > #Level#;RSI(#Period#) > #Level#
(RSI) RSI is lower than Level;(RSI) RSI ist niedriger als die Ebene
RSI(#Period#) < #Level#;RSI(#Period#) < #Level#
Is triggered if RSI is rising;Wird ausgelöst, wenn RSI steigt
(RSI) RSI is rising;(RSI) RSI steigt
RSI(#Period#) is rising;RSI(#Period#) steigt
(STDDEV) Standard Deviation;(STDDEV) Standardabweichung
StdDev(#Period#)[#Shift#];StdDev(#Period#)[#Shift#]
Is triggered if StdDev changes direction downwards;Wird ausgelöst, wenn Standardabweichung die Richtung nach unten ändert
(StdDev) StdDev changes direction downwards;(StdDev) StdDev ändert die Richtung nach unten
StdDev(#Period#) changes direction downwards;StdDev(#Period#) ändert die Richtung nach unten
Is triggered if StdDev changes direction upwards;Wird ausgelöst, wenn Standardabweichung die Richtung nach oben ändert
(StdDev) StdDev changes direction upwards;(StdDev) StdDev ändert die Richtung nach oben
StdDev(#Period#) changes direction upwards;StdDev(#Period#) ändert die Richtung nach oben
(StdDev) StdDev crosses below Level;(StdDev) StdDev kreuzt die Ebene nach unten
StdDev(#Period#) crosses below #Level#;StdDev(#Period#) kreuzt #Level# nach unten
(StdDev) StdDev crosses above Level;(StdDev) StdDev kreuzt die Ebene nach oben
StdDev(#Period#) crosses above #Level#;StdDev(#Period#) kreuzt #Level# nach oben
Is triggered if StdDev is falling;Wird ausgelöst, wenn Standardabweichung fällt
(StdDev) StdDev is falling;(StdDev) StdDev fällt
StdDev(#Period#) is falling;StdDev(#Period#) fällt
(StdDev) StdDev is higher than Level;(StdDev) StdDev ist höher als die Ebene
StdDev(#Period#) > #Level#;StdDev(#Period#) > #Level#
(StdDev) StdDev is lower than Level;(StdDev) StdDev ist niedriger als die Ebene
StdDev(#Period#) < #Level#;StdDev(#Period#) < #Level#
Is triggered if StdDev is rising;Wird ausgelöst, wenn Standardabweichung steigt
(StdDev) StdDev is rising;(StdDev) StdDev steigt
StdDev(#Period#) is rising;StdDev(#Period#) steigt
(STOCH) Stochastic;(STOCH) Stochastischer Oszillator
Stoch(#KPeriod#, #DPeriod#, #Slowing#).#Line#[#Shift#];Stoch(#KPeriod#, #DPeriod#, #Slowing#).#Line#[#Shift#]
%K Period;%K Period
%D Period;%D Period
MA Method;MA Methode
(STOCH) Fast %K crosses below Level;(STOCH) Schnell %K kreuzt die Ebene nach unten
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Fast %K crosses below #Level#;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Fast %K kreuzt #Level# nach unten
(STOCH) Fast %K crosses above Level;(STOCH) Schnell %K kreuzt die Ebene nach oben
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Fast %K crosses above #Level#;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Fast %K kreuzt #Level# nach oben
(STOCH) Fast %K is lower than Slow %D;(STOCH) Schnell %K ist niedriger als Langsam %D
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Fast %K is lower than Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Fast %K ist niedriger als Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D
(STOCH) Fast %K is higher than Slow %D;(STOCH) Schnell %K ist höher als Langsam %D
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Fast %K is higher than Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Fast %K ist höher als Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D
Is triggered if Stochastic changes direction downwards;Wird ausgelöst, wenn Stochastischer Oszillator die Richtung nach unten ändert
(STOCH) Slow %D changes direction downwards;(STOCH) Langsam %D ändert die Richtung nach unten
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D changes direction downwards;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D ändert die Richtung nach unten
Is triggered if Stochastic changes direction upwards;Wird ausgelöst, wenn Stochastischer Oszillator die Richtung nach oben ändert
(STOCH) Slow %D changes direction upwards;(STOCH) Langasm %D ändert die Richtung nach oben
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D changes direction upwards;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D ändert die Richtung nach oben
(STOCH) Slow %D crosses below Level;(STOCH) Langsam %D kreuzt die Ebene nach unten
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D crosses below #Level#;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D kreuzt #Level# nach unten
(STOCH) Slow %D crosses above Level;(STOCH) Langsam %D kreuzt die Ebene nach oben
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D crosses above #Level#;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D kreuzt #Level# nach oben
Is triggered if Stochastic is falling;Wird ausgelöst, wenn Stochastischer Oszillator fällt
(STOCH) Slow %D is falling;(STOCH) Langsam %D fällt
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D is falling;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D fällt
(STOCH) Slow %D is higher than Level;(STOCH) Langsam %D ist höher als die Ebene
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D > #Level#;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D > #Level#
(STOCH) Slow %D is lower than Level;(STOCH) Langsam %D ist niedriger als die Ebene
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D < #Level#;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D < #Level#
Is triggered if Stochastic is rising;Wird ausgelöst, wenn Stochastischer Oszillator steigt
(STOCH) Slow %D is rising;(STOCH) Langsam %D steigt
Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D is rising;Stoch(#KPeriod#, #DPeriod#, #Slowing#).Slow %D steigt
The Williams Percent Range is a momentum indicator that is designed to identify overbought and oversold areas in a nontrending market.;Der 'Williams Percent Range' ist ein Momentum-Indikator, der dazu entworfen wurde, über(ver)kaufte Zonen in einem nicht trendenden Markt zu identifizieren.
(WILL%R) Williams Percent Range;(WILL%R) Williams Percent Range
Williams %R(#Period#)[#Shift#];Williams %R(#Period#)[#Shift#]
Is triggered if Williams%R changes direction downwards;Wird ausgelöst, wenn Williams%R die Richtung nach unten ändert
(WPR) Williams%R changes direction downwards;(WPR) Williams%R ändert die Richtung nach unten
Williams%R(#Period#) changes direction downwards;Williams%R(#Period#) ändert die Richtung nach unten
Is triggered if Williams%R changes direction upwards;Wird ausgelöst, wenn Williams%R die Richtung nach oben ändert
(WPR) Williams%R changes direction upwards;(WPR) Williams%R ändert die Richtung nach oben
Williams%R(#Period#) changes direction upwards;Williams%R(#Period#) ändert die Richtung nach oben
(WPR) Williams%R crosses below Level;(WPR) Williams%R kreuzt die Ebene nach unten
Williams%R(#Period#) crosses below #Level#;Williams%R(#Period#) kreuzt #Level# nach unten
(WPR) Williams%R crosses above Level;(WPR) Williams%R kreuzt die Ebene nach oben
Williams%R(#Period#) crosses above #Level#;Williams%R(#Period#) kreuzt #Level# nach oben
Is triggered if Williams%R is falling;Wird ausgelöst, wenn Williams%R fällt
(WPR) Williams%R is falling;(WPR) Williams%R fällt
Williams%R(#Period#) is falling;Williams%R(#Period#) fällt
(WPR) Williams%R is higher than Level;(WPR) Williams%R ist höher als die Ebene
Williams%R(#Period#) > #Level#;Williams%R(#Period#) > #Level#
(WPR) Williams%R is lower than Level;(WPR) Williams%R ist niedriger als die Ebene
Williams%R(#Period#) < #Level#;Williams%R(#Period#) < #Level#
Is triggered if Williams%R is rising;Wird ausgelöst, wenn Williams%R steigt
(WPR) Williams%R is rising;(WPR) Williams%R steigt
Williams%R(#Period#) is rising;Williams%R(#Period#) steigt
Close all positions that fit the criteria;Alle Positionen schließen, die die Kriterien erfüllen
Magic number that can identify the order.;Magic number, die den Trade identifizieren kann.
Comment can be also used to identify the order. In case of Comment, order matches if the order comments contains the text specified here.;Kommentar kann ebenfalls zum Identifizieren des Trades verwendet werden. Im Fall eines Kommentars stimmt der Trade überein, wenn das Kommentar den Text enthält, der hier eingegeben wurde.
Order identification;Order-Identifikation
Close most profitable position that fits the criteria;Die profitabelste Position schließen, die die Kriterien erfüllt
Close most profitable position;Die profitabelste Position schließen
Close specified position or its part;Angegebene Position ganz oder teilweise schließen
Order size;Tradegröße
Close least profitable position that fits the criteria;Die am wenigsten profitable Position schließen, die die Kriterien erfüllt
Close least profitable position;Die am wenigsten profitable Position schließen
Sets Profit Target to a specified level. If PT already exists it will be moved.;Legt das Profitziel auf eine angegebene Ebene fest. Falls es bereits existiert, wird es verschoben.
(PT) Set Profit Target;(PT) Profitziel festlegen
Set Profit Target;Profitziel festlegen
Sets Stop Loss to a specified level. If SL already exists it will be moved.;Legt den Stop-Loss auf eine angegebene Ebene fest. Falls er bereits existiert, wird er verschoben.
(SL) Set Stop Loss;(SL) Stop-Loss festlegen
Set Stop Loss;Stop-Loss festlegen
Opens limit order at given price;Öffnet eine Limit-Order zum gegebenen Preis
(LMT) Enter at limit;(LMT) Einstieg (Limit-Order)
EnterAtLimit;EnterAtLimit
Opens order at current market price;Öffnet eine Order zum aktuellen Marktpreis
Magic number is used to identify this trade, it should be unique for every trade you open.;Die Magic number wird verwendet, um diesen Trade zu identifizieren, sie sollte für jeden eröffneten Trade einzigartig sein.
If set to true, it will allow to place multiple trades with the same Magic Number;Falls auf TRUE gesetzt, können mehrere Trades mit derselben Magic number platziert werden
(MKT) Enter at market;(MKT) Einstieg zum Marktpreis
EnterAtMarket;EnterAtMarket
Basic;Grundlegend
Opens stop order at given price;Öffnet eine Stop-Order zum gegebenen Preis
Number of bars this pending order will be valid, after then it expires. 0 means it never expires.;Anzahl an Kerzen, die diese Pending-Order gültig sein wird, danach läuft sie ab. 0 bedeutet, sie läuft niemals ab.
If existing stop order with the same identification exist, should it be replaced?;Wenn bereits eine Stop-Order mit derselben Identifikation existiert, soll sie ersetzt werden?
(STOP) Enter at stop;(STOP) Einstieg (Stop-Order)
EnterAtStop;EnterAtStop
Advanced;Erweitert
Replace Existing Order;Bestehende Order ersetzen
Opens order at current market price<br/> If there already is existing order to an opposite direction, it closes it first.;Öffnet einen Trade zum gegenwärtigen Marktpreis<br/> Falls bereits eine Order in die andere Richtung offen ist, wird diese zuerst geschlossen.
(MKT) Enter/reverse at market;(MKT) Einstieg/Umkehr zum Marktpreis
Enter/ReverseAtMarket;Enter/ReverseAtMarket
Number constant;Zahlenkonstante
(BOOL) Boolean;(BOOL) Bool'scher Ausdruck
#Value#;#Value#
Boolean Variable;Bool'sche Variable
(BVAR) Boolean Variable;(BVAR) Bool'sche Variable
#Variable#;#Variable#
Double Variable;Double-Variable
(DVAR) Double Variable;(DVAR) Double-Variable
Integer Variable;Integer-Variable
(IVAR) Int Variable;(IVAR) Int-Variable
(NUM) Number;(NUM) Zahl
#Number#;#Number#
Assigns a value to the variable;Weist der Variable einen Wert zu
Choose variable to which you want to assign some value;Wähle die Variable aus, der du einen Wert zuweisen möchtest
(VAR) Assign variable;(VAR) Variable zuweisen
Assign variable;Variable zuweisen
Define your own action. You can specify any valid MQL command here, or call a custom MQL function defined in /code/CustomFunctions.mq4 file (only desktop version);Definiere deine eigene Aktion. Du kannst hier jeden gültigen MQL-Befehl angeben oder eine benutzerdefinierte MQL-Function aufrufen, die in der Datei /code/CustomFunctions.mq4 definiert ist (nur Desktop-Version)
Custom action;Benutzerdefinierte Aktion
Draws Down Arrow;Zeichnet einen Pfeil nach unten
(v) Draw Down Arrow;(v) Pfeil nach unten zeichnen
Draw Down Arrow;Pfeil nach unten zeichnen
Draws Up Arrow;Zeichnet einen Pfeil nach oben
(^) Draw Up Arrow;(^) Pfeil nach oben zeichnen
Draw Up Arrow;Pfeil nach oben zeichnen
Log message to a given file. The file will be placed in {MT4}/tester/files (for backtest) or in {MT4}/experts/files (for real trading);Nachricht in einer gegebenen Datei loggen. Die Datei wird unter {MT4}/tester/files (für Backtests) oder unter {MT4}/experts/files (für Realtrading) platziert
Logs the specified text to a journal. The text is written to Strategy Tester : Journal during backtest, and to Terminal : Experts during live trading.;Loggt den angegebenen Text in ein Journal. Der Text wird während Backtests nach Strategy Tester : Journal geschrieben und nach Terminal : Experts während de Live-Tradings.
Sends email with specified text. It relies on correct SMTP settings in MT4 in Tools : Options : Email;Sendet eine E-Mail mit angegebenem Text. Korrekte SMTP-Einstellungen im MT4 unter Tools : Optionen : Email erfrderlich!
(ASK) Ask;(ASK) Ask
Ask;Ask
(BID) Bid;(BID) Bid
Bid;Bid
(C) Close;(C) Close
Close[#Shift#];Close[#Shift#]
(DC) Daily Close;(DC) Daily Close
CloseD[#Shift#];CloseD[#Shift#]
(HA C) Heiken Ashi Close;(HA C) Heiken Ashi Close
Heiken Ashi Close[#Shift#];Heiken Ashi Close[#Shift#]
(HA H) Heiken Ashi High;(HA H) Heiken Ashi High
Heiken Ashi High[#Shift#];Heiken Ashi High[#Shift#]
(HA L) Heiken Ashi Low;(HA L) Heiken Ashi Low
Heiken Ashi Low[#Shift#];Heiken Ashi Low[#Shift#]
(HA O) Heiken Ashi Open;(HA O) Heiken Ashi Open
Heiken Ashi Open[#Shift#];Heiken Ashi Open[#Shift#]
(H) High;(H) High
High[#Shift#];High[#Shift#]
(DH) Daily High;(DH) Daily High
HighD[#Shift#];HighD[#Shift#]
(L) Low;(L) Low
Low[#Shift#];Low[#Shift#]
(DL) Daily Low;(DL) Daily Low
LowD[#Shift#];LowD[#Shift#]
(O) Open;(O) Open
Open[#Shift#];Open[#Shift#]
(DO) Daily Open;(DO) Daily Open
OpenD[#Shift#];OpenD[#Shift#]
Spread in pips;Spread in Pips
(V) Volume;(V) Volume
Volume[#Shift#];Volume[#Shift#]
Returns account balance in account currency.;Gibt den Kontostand in der Kontowährung zurück.
(ACB) AccountBalance;(ACB) AccountBalance
AccountBalance();AccountBalance()
Returns account equity in account currency.;Gibt die Konto-Equität in der Kontowährung zurück.
(ACC) AccountEquity;(ACC) AccountEquity
AccountEquity();AccountEquity()
Returns number of bars since the specified order was opened.;Gibt die Anzahl an Kerzen seit Eröffnung der angegebenen Order zurück.
"BarsSinceOrderClosed(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"BarsSinceOrderClosed(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
"BarsSinceOrderOpen(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"BarsSinceOrderOpen(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
Returns last closed P/L in money for order with given Magic Number. It will return 0 if the order hasn't closed yet. If Magic Number is 0, it will return closed P/L of last order.;Gibt den letzten geschlossenen P/L in Geld für die Order mit der gegebenen Magic Number zurück. Falls die Order noch nicht geschlossen ist, wird 0 zurückgegeben. Wenn die Magic Number 0 ist, wird der geschlossene P/L der letzten Order zurückgegeben.
Leave at 0 for very last trade. 1 means trade befor ethe last one, 2 means trade before that, etc.;Auf 0 belassen für den allerletzten Trade. 1 bedeutet vorletzter, 2 bedeutet drittletzter usw.
Closed P/L (in money);Geschlossener P/L (in Geld)
"Closed P/L in money(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"Geschlossener P/L in Geld(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
Other;Andere
Returns last closed P/L in pips for order with given Magic Number. It will return 0 if the order hasn't closed yet. If Magic Number is 0, it will return closed P/L of last order.;Gibt den letzten geschlossenen P/L in Pips für die Order mit der gegebenen Magic Number zurück. Falls die Order noch nicht geschlossen ist, wird 0 zurückgegeben. Wenn die Magic Number 0 ist, wird der geschlossene P/L der letzten Order zurückgegeben.
Closed P/L (in pips);Geschlossener P/L (in Pips)
"Closed P/L in pips(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"Geschlossener P/L in Pips(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
Returns true if direction of last order matches. Considers only executed orders, not pending orders that were closed.;Gibt TRUE zurück, wenn die Richtung der letzten Order übereinstimmt. Es werden nur ausgeführte Orders betrachtet, keine geschlossenen Pending Orders.
"Last order(#Symbol#, #MagicNumber#, \""#Comment#\"") was #Direction#";"Letzte Order(#Symbol#, #MagicNumber#, \""#Comment#\"") war #Direction#"
Returns true is direction of last order doesn't match the specified direction. Considers only executed orders, not pending orders that were closed.;Gibt TRUE zurück, wenn die Richtung der letzten Order nicht übereinstimmt. Es werden nur ausgeführte Orders betrachtet, keine geschlossenen Pending Orders.
"Last order(#Symbol#, #MagicNumber#, \""#Comment#\"") was not #Direction#";"Letzte Order(#Symbol#, #MagicNumber#, \""#Comment#\"") war nicht #Direction#"
Returns current market position, it will search for all orders that fit the criteria. If there are orders to both long and short, it will return direction of first order found.;Gibt aktuelle Marktposition zurück, alle Orders, die das Kriterium erfüllen, werden gesucht. Wenn es sowohl Long- als auch Short-Orders gibt, wird die Richtung der ersten gefundenen Order zurückgegeben.
(MKT) MarketPosition;(MKT) MarketPosition
"MarketPosition(#Symbol#, #MagicNumber#, \""#Comment#\"")";"MarketPosition(#Symbol#, #MagicNumber#, \""#Comment#\"")"
Market Position Is Flat;Marktposition ist flach
Is triggered if the first identified live order that fits the criteria is Long. It doesn't consider pending orders.;Wird ausgelöst, wenn die erste identifizierte Live-Order, die das Kriterium erfüllt, LONG ist. Es werden keine Pending Orders betrachtet.
"Market Position(#Symbol#, #MagicNumber#, \""#Comment#\"") is Long";"Marktposition(#Symbol#, #MagicNumber#, \""#Comment#\"") ist Long"
Is triggered if the first identified live order that fits the criteria is Short. It doesn't consider pending orders.;Wird ausgelöst, wenn die erste identifizierte Live-Order, die das Kriterium erfüllt, SHORT ist. Es werden keine Pending Orders betrachtet.
"Market Position(#Symbol#, #MagicNumber#, \""#Comment#\"") is Short";"Marktposition(#Symbol#, #MagicNumber#, \""#Comment#\"") ist Short"
Returns number of market positions that fit the criteria.;Gibt die Anzahl der Marktpositionen zurück, die die Bedingungen erfüllen.
"MarketPositionsCount(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"MarketPositionsCount(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
Returns the sum of all open positions that fit the criteria.;Gibt die Summe aller offenen Positionen zurück, die die Bedingungen erfüllen.
"MarketPositionSize(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"MarketPositionSize(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
Returns true if there wasn't active trade that was closed recently - which means at the same bar or even the same minute. This block can be used to filter too frequent trading and improve backtesting accuracy.;Gibt TRUE zurück, wenn kein aktiver Trade kürzlich geschlossen wurde - d.h. in der selben Kerze oder sogar zur selben Minute. Dieser Block kann verwendet werden, um zu häufiges Trading herauszufiltern und die Backtesting-Qualität zu verbessern.
NoTradeRecentlyClosed(#Symbol#, #MagicNumber#);NoTradeRecentlyClosed(#Symbol#, #MagicNumber#)
Returns open P/L for specified order in money. If you'll not specify any order, it will return sum of open P/L for all active orders.;Gibt den offenen P/L für die angegebene Order in Geld zurück. Wenn du keine Order angibst, wird die Summe des offenen P/L für alle aktiven Orders zurückgegeben.
Open P/L (in money);Offener P/L (in Geld)
"Open P/L in money(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"Offener P/L in Geld(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
Returns open P/L for specified order in pips. If you'll not specify any order, it will return sum of open P/L for all active orders.;Gibt den offenen P/L für die angegebene Order in Pips zurück. Wenn du keine Order angibst, wird die Summe des offenen P/L für alle aktiven Orders zurückgegeben.
Open P/L (in pips);Offener P/L (in Pips)
"Open P/L in pips(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"Offener P/L in Pips(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
